cdmTableName,cdmFieldName,isRequired,cdmDatatype,userGuidance,etlConventions,isPrimaryKey,isForeignKey,fkTableName,fkFieldName,fkDomain,fkClass,unique DQ identifiers
person,care_site_id,No,integer,Care Site는 해당 Provider가 일반적으로 1차 진료를 제공하는 장소를 의미한다.,NA,No,Yes,CARE_SITE,CARE_SITE_ID,NA,NA,NA
person,person_source_value,No,varchar(50),원천 데이터의 사람과 다시 연결하려면 이 필드를 사용한다. 이는 일반적으로 ETL 로직의 오류 검사에 사용된다.,Some use cases require the ability to link back to persons in the source data. This field allows for the storing of the person value as it appears in the source. This field is not required but strongly recommended.,No,No,NA,NA,NA,NA,NA
person,gender_source_value,No,varchar(50),이 필드는 원천 데이터에서 가져온 사람의 생물학적 성별을 저장하는 데 사용된다. 표준 분석에서의 사용을 의도한 것이 아니라 참조용으로만 사용된다.,Put the assigned sex at birth of the person as it appears in the source data.,No,No,NA,NA,NA,NA,NA
person,gender_source_concept_id,No,integer,선택지의 수가 적기 때문에 이 값은 0이 되는 경향이 있다.,"If the source data codes asigned sex at birth in a non-standard vocabulary, store the concept_id here.",No,Yes,CONCEPT,CONCEPT_ID,NA,NA,NA
person,race_source_value,No,varchar(50),이 필드는 원천 데이터에서 가져온 사람의 인종을 저장하는 데 사용된다. 표준 분석에서의 사용을 의도한 것이 아니라 참조용으로만 사용된다.,Put the race of the person as it appears in the source data.,No,No,NA,NA,NA,NA,NA
person,race_source_concept_id,No,integer,선택지의 수가 적기 때문에 이 값은 0이 되는 경향이 있다.,If the source data codes race in an OMOP supported vocabulary store the concept_id here.,No,Yes,CONCEPT,CONCEPT_ID,NA,NA,NA
person,ethnicity_source_value,No,varchar(50),이 필드는 원천 데이터에서 가져온 사람의 ethnicity를 저장하는 데 사용된다. 표준 분석에서의 사용을 의도한 것이 아니라 참조용으로만 사용된다.,"If the person has an ethnicity other than the OMB standard of ""Hispanic"" or ""Not Hispanic"" store that value from the source data here.",No,No,NA,NA,NA,NA,NA
person,ethnicity_source_concept_id,No,integer,선택지의 수가 적기 때문에 이 값은 0이 되는 경향이 있다.,"If the source data codes ethnicity in an OMOP supported vocabulary, store the concept_id here.",No,Yes,CONCEPT,CONCEPT_ID,NA,NA,NA
observation_period,observation_period_id,Yes,integer,한 Person은 Observation_Period_Id로 식별되는 여러 개의 개별 Observation Period를 가질 수 있다.,Assign a unique observation_period_id to each discrete Observation Period for a Person.,Yes,No,NA,NA,NA,NA,NA
observation_period,person_id,Yes,integer,Observation Period가 기록되는 대상인 PERSON 레코드의 Person ID이다.,NA,No,Yes,PERSON,PERSON_ID,NA,NA,NA
observation_period,observation_period_start_date,Yes,date,Observation Period의 시작 날짜를 결정하려면 이 날짜를 사용한다.,"It is often the case that the idea of Observation Periods does not exist in source data. In those cases, the observation_period_start_date can be inferred as the earliest Event date available for the Person. In insurance claim data, the Observation Period can be considered as the time period the Person is enrolled with a payer. If a Person switches plans but stays with the same payer, and therefore capturing of data continues, that change would be captured in [PAYER_PLAN_PERIOD](https://ohdsi.github.io/CommonDataModel/cdm531.html#payer_plan_period).",No,No,NA,NA,NA,NA,NA
observation_period,observation_period_end_date,Yes,date,한 Person의 모든 이벤트가 기록되었다고 가정할 수 있는 기간의 종료 날짜를 결정하려면 이 날짜를 사용한다.,"It is often the case that the idea of Observation Periods does not exist in source data. In those cases, the observation_period_end_date can be inferred as the last Event date available for the Person. In insurance claim data, the Observation Period can be considered as the time period the Person is enrolled with a payer.",No,No,NA,NA,NA,NA,NA
observation_period,period_type_concept_id,Yes,integer,"이 필드는 해당 기간이 보험 가입 파일, EHR 의료 방문 기록, 또는 기타 출처에서 결정되었는지 등 Observation Period의 출처를 판별하는 데 사용할 수 있다.",Choose the observation_period_type_concept_id that best represents how the period was determined. [Accepted Concepts](https://athena.ohdsi.org/search-terms/terms?domain=Type+Concept&standardConcept=Standard&page=1&pageSize=15&query=). A more detailed explanation of each Type Concept can be found on the [vocabulary wiki](https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-TYPE_CONCEPT).,No,Yes,CONCEPT,CONCEPT_ID,Type Concept,NA,NA
visit_occurrence,visit_occurrence_id,Yes,integer,환자와 의료 시스템 간의 고유한 상호작용을 식별하는 데 사용한다. 이 식별자는 다른 CDM 이벤트 테이블 전반에 걸쳐 연결되어 이벤트를 visit과 연관시킨다.,This should be populated by creating a unique identifier for each unique interaction between a person and the healthcare system where the person receives a medical good or service over a span of time.,Yes,No,NA,NA,NA,NA,NA
visit_occurrence,person_id,Yes,integer,NA,NA,No,Yes,PERSON,PERSON_ID,NA,NA,NA
visit_occurrence,visit_concept_id,Yes,integer,이 필드는 입원 또는 외래와 같은 방문 유형을 나타내는 concept id를 포함한다. 이 필드의 모든 concept는 standard여야 하며 Visit 도메인에 속해야 한다.,"Populate this field based on the kind of visit that took place for the person. For example this could be ""Inpatient Visit"", ""Outpatient Visit"", ""Ambulatory Visit"", etc. This table will contain standard concepts in the Visit domain. These concepts are arranged in a hierarchical structure to facilitate cohort definitions by rolling up to generally familiar Visits adopted in most healthcare systems worldwide. [Accepted Concepts](https://athena.ohdsi.org/search-terms/terms?domain=Visit&standardConcept=Standard&page=1&pageSize=15&query=).",No,Yes,CONCEPT,CONCEPT_ID,Visit,NA,NA
visit_occurrence,visit_start_date,Yes,date,입원 방문의 경우 시작 날짜는 일반적으로 입원일이다. 외래 방문의 경우 시작 날짜와 종료 날짜가 동일하다.,"When populating VISIT_START_DATE, you should think about the patient experience to make decisions on how to define visits. In the case of an inpatient visit this should be the date the patient was admitted to the hospital or institution. In all other cases this should be the date of the patient-provider interaction. If this information is not available the record should be dropped.",No,No,NA,NA,NA,NA,NA
visit_occurrence,visit_start_datetime,No,datetime,NA,"If no time is given for the start date of a visit, set it to midnight (00:00:0000).",No,No,NA,NA,NA,NA,NA
visit_occurrence,visit_end_date,Yes,date,입원 방문의 경우 종료 날짜는 일반적으로 퇴원일이다.,"Visit end dates are mandatory. If end dates are not provided in the source there are three ways in which to derive them:
- Outpatient Visit: visit_end_datetime = visit_start_datetime
- Emergency Room Visit: visit_end_datetime = visit_start_datetime
- Inpatient Visit: Usually there is information about discharge. If not, you should be able to derive the end date from the sudden decline of activity or from the absence of inpatient procedures/drugs.
- Non-hospital institution Visits: Particularly for claims data, if end dates are not provided assume the visit is for the duration of month that it occurs.
For Inpatient Visits ongoing at the date of ETL, put date of processing the data into visit_end_datetime and visit_type_concept_id with 32220 ""Still patient"" to identify the visit as incomplete.
- All other Visits: visit_end_datetime = visit_start_datetime. If this is a one-day visit the end date should match the start date.",No,No,NA,NA,NA,NA,NA
visit_occurrence,visit_end_datetime,No,datetime,NA,"If no time is given for the end date of a visit, set it to midnight (00:00:0000).",No,No,NA,NA,NA,NA,NA
visit_occurrence,visit_type_concept_id,Yes,Integer,"이 필드를 사용하여 visit 레코드의 출처, 즉 레코드가 어디에서 왔는지를 파악한다.","Populate this field based on the provenance of the visit record, as in whether it came from an EHR record or billing claim. [Accepted Concepts](https://athena.ohdsi.org/search-terms/terms?domain=Type+Concept&standardConcept=Standard&page=1&pageSize=15&query=). A more detailed explanation of each Type Concept can be found on the [vocabulary wiki](https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-TYPE_CONCEPT).",No,Yes,CONCEPT,CONCEPT_ID,Type Concept,NA,NA
visit_occurrence,provider_id,No,integer,"visit 레코드당 provider는 한 명만 존재하며 ETL 문서에는 어떻게 선택되었는지(주치의, 입원담당의 등)를 명확히 기술해야 한다. 소스에 하나의 visit과 연관된 provider가 여러 명 있는 경우, 이는 이벤트 테이블(CONDITION_OCCURRENCE, PROCEDURE_OCCURRENCE 등) 또는 VISIT_DETAIL 테이블에 반영할 수 있다.","If there are multiple providers associated with a visit, you will need to choose which one to put here. The additional providers can be stored in the [VISIT_DETAIL](https://ohdsi.github.io/CommonDataModel/cdm531.html#visit_detail) table.",No,Yes,PROVIDER,PROVIDER_ID,NA,NA,NA
visit_occurrence,care_site_id,No,integer,이 필드는 Visit이 발생한 Care Site에 대한 정보를 제공한다.,There should only be one Care Site associated with a Visit.,No,Yes,CARE_SITE,CARE_SITE_ID,NA,NA,NA
visit_occurrence,visit_source_value,No,varchar(50),"이 필드는 발생한 방문 유형(입원, 외래, 응급 등)을 나타내는 소스 데이터의 원본 값을 보관한다.","If there is information about the kind of visit in the source data that value should be stored here. If a visit is an amalgamation of visits from the source then use a hierarchy to choose the visit source value, such as IP -> ER-> OP. This should line up with the logic chosen to determine how visits are created.",No,No,NA,NA,NA,NA,NA
visit_occurrence,visit_source_concept_id,No,integer,NA,If the visit source value is coded in the source data using an OMOP supported vocabulary put the concept id representing the source value here.,No,Yes,CONCEPT,CONCEPT_ID,NA,NA,NA
visit_occurrence,admitting_source_concept_id,No,integer,"이 필드를 사용하여 환자가 어디에서 입원했는지를 판단한다. 이 concept는 visit 도메인의 일부이며, 예를 들어 환자가 장기요양시설에서 병원으로 입원했는지를 나타낼 수 있다.","If available, map the admitting_source_value to a standard concept in the visit domain. [Accepted Concepts](https://athena.ohdsi.org/search-terms/terms?domain=Visit&standardConcept=Standard&page=1&pageSize=15&query=). If a person was admitted from home or was self-referred, set this to 0.",No,Yes,CONCEPT,CONCEPT_ID,Visit,NA,NA
visit_occurrence,admitting_source_value,No,varchar(50),NA,"This information may be called something different in the source data but the field is meant to contain a value indicating where a person was admitted from. Typically this applies only to visits that have a length of stay, like inpatient visits or long-term care visits.",No,No,NA,NA,NA,NA,NA
visit_occurrence,discharge_to_concept_id,No,integer,"이 필드를 사용하여 방문 후 환자가 어디로 퇴원했는지를 판단한다. 이 concept는 visit 도메인의 일부이며, 예를 들어 환자가 집으로 퇴원했는지 또는 장기요양시설로 보내졌는지를 나타낼 수 있다.","If available, map the discharge_to_source_value to a standard concept in the visit domain. [Accepted Concepts](https://athena.ohdsi.org/search-terms/terms?domain=Visit&standardConcept=Standard&page=1&pageSize=15&query=).",No,Yes,CONCEPT,CONCEPT_ID,Visit,NA,NA
visit_occurrence,discharge_to_source_value,No,varchar(50),NA,"This information may be called something different in the source data but the field is meant to contain a value indicating where a person was discharged to after a visit, as in they went home or were moved to long-term care. Typically this applies only to visits that have a length of stay of a day or more.",No,No,NA,NA,NA,NA,NA
visit_occurrence,preceding_visit_occurrence_id,No,integer,이 필드를 사용하여 해당 환자의 특정 visit 이전에 발생한 visit을 찾는다. 그 사이에는 며칠에서 몇 년의 간격이 있을 수 있다.,"This field can be used to link a visit immediately preceding the current visit. Note this is not symmetrical, and there is no such thing as a ""following_visit_id"".",No,Yes,VISIT_OCCURRENCE,VISIT_OCCURRENCE_ID,NA,NA,NA
visit_detail,visit_detail_id,Yes,integer,환자와 의료 시스템 간의 고유한 상호작용을 식별하는 데 사용한다. 이 식별자는 다른 CDM 이벤트 테이블 전반에 걸쳐 연결되어 이벤트를 visit detail과 연관시킨다.,This should be populated by creating a unique identifier for each unique interaction between a person and the healthcare system where the person receives a medical good or service over a span of time.,Yes,No,NA,NA,NA,NA,NA
visit_detail,person_id,Yes,integer,NA,NA,No,Yes,PERSON,PERSON_ID,NA,NA,NA
visit_detail,visit_detail_concept_id,Yes,integer,이 필드는 입원 또는 외래와 같은 visit detail 유형을 나타내는 concept id를 포함한다. 이 필드의 모든 concept는 standard여야 하며 Visit 도메인에 속해야 한다.,"Populate this field based on the kind of visit that took place for the person. For example this could be ""Inpatient Visit"", ""Outpatient Visit"", ""Ambulatory Visit"", etc. This table will contain standard concepts in the Visit domain. These concepts are arranged in a hierarchical structure to facilitate cohort definitions by rolling up to generally familiar Visits adopted in most healthcare systems worldwide. [Accepted Concepts](https://athena.ohdsi.org/search-terms/terms?domain=Visit&standardConcept=Standard&page=1&pageSize=15&query=).",No,Yes,CONCEPT,CONCEPT_ID,Visit,NA,NA
visit_detail,visit_detail_start_date,Yes,date,이는 진료 시작 날짜이다. 이는 Visit Detail이 연관된 Visit의 날짜와 같을 수도 있고 다를 수도 있다.,"When populating VISIT_DETAIL_START_DATE, you should think about the patient experience to make decisions on how to define visits. Most likely this should be the date of the patient-provider interaction.",No,No,NA,NA,NA,NA,NA
visit_detail,visit_detail_start_datetime,No,datetime,NA,"If no time is given for the start date of a visit, set it to midnight (00:00:0000).",No,No,NA,NA,NA,NA,NA
visit_detail,visit_detail_end_date,Yes,date,이는 환자-provider 상호작용의 종료 날짜이다.,"Visit Detail end dates are mandatory. If end dates are not provided in the source there are three ways in which to derive them:<br>
- Outpatient Visit Detail: visit_detail_end_datetime = visit_detail_start_datetime
- Emergency Room Visit Detail: visit_detail_end_datetime = visit_detail_start_datetime
- Inpatient Visit Detail: Usually there is information about discharge. If not, you should be able to derive the end date from the sudden decline of activity or from the absence of inpatient procedures/drugs.
- Non-hospital institution Visit Details: Particularly for claims data, if end dates are not provided assume the visit is for the duration of month that it occurs.<br>
For Inpatient Visit Details ongoing at the date of ETL, put date of processing the data into visit_detai_end_datetime and visit_detail_type_concept_id with 32220 ""Still patient"" to identify the visit as incomplete.
All other Visits Details: visit_detail_end_datetime = visit_detail_start_datetime.",No,No,NA,NA,NA,NA,NA
visit_detail,visit_detail_end_datetime,No,datetime,NA,"If no time is given for the end date of a visit, set it to midnight (00:00:0000).",No,No,NA,NA,NA,NA,NA
visit_detail,visit_detail_type_concept_id,Yes,integer,"이 필드를 사용하여 visit detail 레코드의 출처, 즉 레코드가 어디에서 왔는지를 파악한다.","Populate this field based on the provenance of the visit detail record, as in whether it came from an EHR record or billing claim. [Accepted Concepts](https://athena.ohdsi.org/search-terms/terms?domain=Type+Concept&standardConcept=Standard&page=1&pageSize=15&query=). A more detailed explanation of each Type Concept can be found on the [vocabulary wiki](https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-TYPE_CONCEPT).",No,Yes,CONCEPT,CONCEPT_ID,Type Concept,NA,NA
visit_detail,provider_id,No,integer,"**visit** 레코드당 provider는 한 명만 존재하며 ETL 문서에는 어떻게 선택되었는지(주치의, 입원담당의 등)를 명확히 기술해야 한다. 이는 VISIT_DETAIL 테이블을 활용하는 전형적인 이유인데, 각 VISIT_DETAIL 레코드는 provider를 한 명만 가질 수 있지만 하나의 VISIT_OCCURRENCE 레코드와 연관될 수 있는 VISIT_DETAIL 레코드의 수에는 제한이 없기 때문이다.",The additional providers associated to a Visit can be stored in this table where each VISIT_DETAIL record represents a different provider.,No,Yes,PROVIDER,PROVIDER_ID,NA,NA,NA
visit_detail,care_site_id,No,integer,이 필드는 Visit Detail이 발생한 Care Site에 대한 정보를 제공한다.,There should only be one Care Site associated with a Visit Detail.,No,Yes,CARE_SITE,CARE_SITE_ID,NA,NA,NA
visit_detail,visit_detail_source_value,No,varchar(50),"이 필드는 발생한 visit detail 유형(입원, 외래, 응급 등)을 나타내는 소스 데이터의 원본 값을 보관한다.","If there is information about the kind of visit detail in the source data that value should be stored here. If a visit is an amalgamation of visits from the source then use a hierarchy to choose the VISIT_DETAIL_SOURCE_VALUE, such as IP -> ER-> OP. This should line up with the logic chosen to determine how visits are created.",No,No,NA,NA,NA,NA,NA
visit_detail,visit_detail_source_concept_id,No,Integer,NA,If the VISIT_DETAIL_SOURCE_VALUE is coded in the source data using an OMOP supported vocabulary put the concept id representing the source value here.,No,Yes,CONCEPT,CONCEPT_ID,NA,NA,NA
visit_detail,admitting_source_value,No,Varchar(50),NA,"This information may be called something different in the source data but the field is meant to contain a value indicating where a person was admitted from. Typically this applies only to visits that have a length of stay, like inpatient visits or long-term care visits.",No,No,NA,NA,NA,NA,NA
visit_detail,admitting_source_concept_id,No,Integer,"이 필드를 사용하여 환자가 어디에서 입원했는지를 판단한다. 이 concept는 visit 도메인의 일부이며, 예를 들어 환자가 장기요양시설에서 병원으로 입원했는지를 나타낼 수 있다.","If available, map the admitting_source_value to a standard concept in the visit domain. [Accepted Concepts](https://athena.ohdsi.org/search-terms/terms?domain=Visit&standardConcept=Standard&page=1&pageSize=15&query=). If a person was admitted from home or was self-referred, set this to 0.",No,Yes,CONCEPT,CONCEPT_ID,Visit,NA,NA
visit_detail,discharge_to_source_value,No,Varchar(50),NA,"This information may be called something different in the source data but the field is meant to contain a value indicating where a person was discharged to after a visit, as in they went home or were moved to long-term care. Typically this applies only to visits that have a length of stay of a day or more.",No,No,NA,NA,NA,NA,NA
visit_detail,discharge_to_concept_id,No,integer,"이 필드는 visit detail 레코드 이후 환자가 어디로 퇴원했는지를 판단하는 데 사용한다. 이 concept은 visit 도메인의 일부이며, 예를 들어 환자가 자택으로 퇴원했는지 또는 장기요양시설로 이송되었는지를 나타낼 수 있다.","If available, map the DISCHARGE_TO_SOURCE_VALUE to a Standard Concept in the Visit domain. [Accepted Concepts](https://athena.ohdsi.org/search-terms/terms?domain=Visit&standardConcept=Standard&page=1&pageSize=15&query=).",No,Yes,CONCEPT,CONCEPT_ID,Visit,NA,NA
visit_detail,preceding_visit_detail_id,No,integer,이 필드는 해당 visit detail 레코드 이전에 그 사람에게 발생한 visit detail을 찾는 데 사용한다. 그 사이에는 며칠 또는 몇 년의 간격이 있을 수 있다.,"The PRECEDING_VISIT_DETAIL_ID can be used to link a visit immediately preceding the current Visit Detail. Note this is not symmetrical, and there is no such thing as a ""following_visit_id"".",No,Yes,VISIT_DETAIL,VISIT_DETAIL_ID,NA,NA,NA
visit_detail,visit_detail_parent_id,No,integer,이 필드는 해당 visit detail 레코드를 포함하는 상위 visit detail을 찾는 데 사용한다. 이는 visit detail 레코드가 VISIT_OCCURRENCE/VISIT_DETAIL 관계를 넘어 중첩되어야 하는 경우에 사용한다.,"If there are multiple nested levels to how Visits are represented in the source, the VISIT_DETAIL_PARENT_ID can be used to record this relationship.",No,Yes,VISIT_DETAIL,VISIT_DETAIL_ID,NA,NA,NA
visit_detail,visit_occurrence_id,Yes,integer,이 필드는 VISIT_DETAIL 레코드를 해당 VISIT_OCCURRENCE에 연결하는 데 사용한다.,Put the VISIT_OCCURRENCE_ID that subsumes the VISIT_DETAIL record here.,No,Yes,VISIT_OCCURRENCE,VISIT_OCCURRENCE_ID,NA,NA,NA
condition_occurrence,condition_occurrence_id,Yes,integer,한 사람의 condition 레코드에 부여되는 고유 키이다. 동일한 visit 중 중복된 condition을 어떻게 처리했는지는 ETL을 참조한다.,"Each instance of a condition present in the source data should be assigned this unique key. In some cases, a person can have multiple records of the same condition within the same visit. It is valid to keep these duplicates and assign them individual, unique, CONDITION_OCCURRENCE_IDs, though it is up to the ETL how they should be handled.",Yes,No,NA,NA,NA,NA,NA
condition_occurrence,person_id,Yes,integer,condition이 기록된 PERSON의 PERSON_ID이다.,NA,No,Yes,PERSON,PERSON_ID,NA,NA,NA
condition_occurrence,condition_concept_id,Yes,integer,"CONDITION_CONCEPT_ID 필드는 분석에 우선적으로 사용하는 것이 권장되며, 네트워크 연구에는 반드시 사용해야 한다. 이는 condition을 나타내는 source value로부터 매핑된 standard concept이다.","The CONCEPT_ID that the CONDITION_SOURCE_VALUE maps to. Only records whose source values map to concepts with a domain of ""Condition"" should go in this table. [Accepted Concepts](https://athena.ohdsi.org/search-terms/terms?domain=Condition&standardConcept=Standard&page=1&pageSize=15&query=).",No,Yes,CONCEPT,CONCEPT_ID,Condition,NA,NA
condition_occurrence,condition_start_date,Yes,date,이 날짜는 condition의 시작일을 판단하는 데 사용한다.,"Most often data sources do not have the idea of a start date for a condition. Rather, if a source only has one date associated with a condition record it is acceptable to use that date for both the CONDITION_START_DATE and the CONDITION_END_DATE.",No,No,NA,NA,NA,NA,NA
condition_occurrence,condition_start_datetime,No,datetime,NA,If a source does not specify datetime the convention is to set the time to midnight (00:00:0000),No,No,NA,NA,NA,NA,NA
condition_occurrence,condition_end_date,No,date,이 날짜는 condition의 종료일을 판단하는 데 사용한다.,"Most often data sources do not have the idea of a start date for a condition. Rather, if a source only has one date associated with a condition record it is acceptable to use that date for both the CONDITION_START_DATE and the CONDITION_END_DATE.",No,No,NA,NA,NA,NA,NA
condition_occurrence,condition_end_datetime,No,datetime,NA,If a source does not specify datetime the convention is to set the time to midnight (00:00:0000),No,No,NA,NA,NA,NA,NA
condition_occurrence,condition_type_concept_id,Yes,integer,"이 필드는 condition 레코드의 출처를 판단하는 데 사용할 수 있다. 즉, 해당 condition이 EHR 시스템, 보험 청구, 레지스트리 또는 기타 출처에서 비롯되었는지를 나타낸다.",Choose the CONDITION_TYPE_CONCEPT_ID that best represents the provenance of the record. [Accepted Concepts](https://athena.ohdsi.org/search-terms/terms?domain=Type+Concept&standardConcept=Standard&page=1&pageSize=15&query=). A more detailed explanation of each Type Concept can be found on the [vocabulary wiki](https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-TYPE_CONCEPT).,No,Yes,CONCEPT,CONCEPT_ID,Type Concept,NA,NA
condition_occurrence,condition_status_concept_id,No,integer,"이 concept은 visit 중 진단이 내려진 시점(입원 진단, 최종 진단), 검사 소견에 따라 진단이 결정되었는지, 진단이 배제 진단이었는지, 또는 예비 진단이었는지 등을 나타낸다.","Choose the Concept in the Condition Status domain that best represents the point during the visit when the diagnosis was given. These can include admitting diagnosis, principal diagnosis, and secondary diagnosis. [Accepted Concepts](https://athena.ohdsi.org/search-terms/terms?domain=Condition+Status&standardConcept=Standard&page=1&pageSize=15&query=).",No,Yes,CONCEPT,CONCEPT_ID,Condition Status,NA,NA
condition_occurrence,stop_reason,No,varchar(20),Stop Reason은 source 데이터 내 목적과 관련하여 Condition이 더 이상 유효하지 않은 이유를 나타낸다. Stop Reason이 반드시 해당 condition이 더 이상 발생하지 않음을 의미하는 것은 아님에 유의한다.,This information is often not populated in source data and it is a valid etl choice to leave it blank if the information does not exist.,No,No,NA,NA,NA,NA,NA
condition_occurrence,provider_id,No,integer,"condition 레코드와 연관된 provider, 예를 들어 진단을 내린 provider 또는 증상을 기록한 provider이다.","The ETL may need to make a choice as to which PROVIDER_ID to put here. Based on what is available this may or may not be different than the provider associated with the overall VISIT_OCCURRENCE record, for example the admitting vs attending physician on an EHR record.",No,Yes,PROVIDER,PROVIDER_ID,NA,NA,NA
condition_occurrence,visit_occurrence_id,No,integer,condition이 발생한 visit이다.,"Depending on the structure of the source data, this may have to be determined based on dates. If a CONDITION_START_DATE occurs within the start and end date of a Visit it is a valid ETL choice to choose the VISIT_OCCURRENCE_ID from the Visit that subsumes it, even if not explicitly stated in the data. While not required, an attempt should be made to locate the VISIT_OCCURRENCE_ID of the CONDITION_OCCURRENCE record.",No,Yes,VISIT_OCCURRENCE,VISIT_OCCURRENCE_ID,NA,NA,NA
condition_occurrence,visit_detail_id,No,integer,"condition이 발생한 VISIT_DETAIL 레코드이다. 예를 들어, 진단 시점에 그 사람이 ICU에 있었다면 VISIT_OCCURRENCE 레코드는 전체 입원 기간을 반영하고 VISIT_DETAIL 레코드는 그 입원 visit 중 ICU 체류를 반영한다.",Same rules apply as for the VISIT_OCCURRENCE_ID.,No,Yes,VISIT_DETAIL,VISIT_DETAIL_ID,NA,NA,NA
condition_occurrence,condition_source_value,No,varchar(50),이 필드는 발생한 condition을 나타내는 source 데이터의 원래 값을 그대로 담는다. 예를 들어 ICD10 또는 Read 코드일 수 있다.,This code is mapped to a Standard Condition Concept in the Standardized Vocabularies and the original code is stored here for reference.,No,No,NA,NA,NA,NA,NA
condition_occurrence,condition_source_concept_id,No,integer,"이는 condition source value를 나타내는 concept이며, 반드시 standard일 필요는 없다. 이 필드는 OHDSI 커뮤니티 전반에서 사용되는 Standard Concept을 포함하도록 요구되지 않으므로 분석에서의 사용은 권장되지 않으며, 특정 분석 활용 사례에 필요한 Condition의 source 상세 정보를 Standard Concept이 적절히 나타내지 못하는 경우에만 사용해야 한다. 네트워크 전반에서 일관성 있는 표준화된 분석을 가능하게 하려면 대신 CONDITION_CONCEPT_ID 사용을 고려한다.",If the CONDITION_SOURCE_VALUE is coded in the source data using an OMOP supported vocabulary put the concept id representing the source value here.,No,Yes,CONCEPT,CONCEPT_ID,NA,NA,NA
